d,value,feed_id,created_at,lat,lon,ele
0EWZAV5YV1PFDB5ACZ6K28H8ZA,25.190426,1754978,2021-12-07 14:49:11 UTC,,,
0EWZAVAS8NGD05VS3FA6NY4CAW,24.926758,1754978,2021-12-07 14:49:26 UTC,,,
0EWZAVDKE84C04BQBMR93MV47N,24.838865,1754978,2021-12-07 14:49:36 UTC,,,
0EWZAW57JS4WZKY6YPPR5PTTMG,24.487305,1754978,2021-12-07 14:50:53 UTC,,,
0EWZAW5Q3MTRRFKV83KQ7T72DP,24.487305,1754978,2021-12-07 14:50:55 UTC,,,
0EWZAWH939FY104JVSHTRZYJJV,24.399412,1754978,2021-12-07 14:51:33 UTC,,,
0EWZAWHQET6HZ33A4S8BDD66EH,24.399412,1754978,2021-12-07 14:51:34 UTC,,,
0EWZAWJEVVM8ZKWMPPGSC57N0N,24.399412,1754978,2021-12-07 14:51:36 UTC,,,
0EWZAY9JGPHY7W8N3AHTTQE5G7,24.355465,1754978,2021-12-07 14:54:37 UTC,,,
0EWZB04G41HPTGFZ239AEKXSE2,24.311520,1754978,2021-12-07 14:57:50 UTC,,,
